HstNummer;Name ohne Ort;Ort;Globale ID;WGS84 X;WGS84 Y
190;Rotkreuzplatz;München;de:09162:190;48,1529824250642;11,5334993060882
197;Oskar-von-Miller-Ring;München;de:09162:197;48,1453569101895;11,5755489097128
200;Westfriedhof;München;de:09162:200;48,1693117450165;11,5284442360651
201;Dantebad;München;de:09162:201;48,1665378190419;11,5274748028662
202;Klugstraße;München;de:09162:202;48,1642416141687;11,5289611559725
203;St.-Galler-Straße;München;de:09162:203;48,1597148452739;11,5304004952803
204;Neuhausen;München;de:09162:204;48,1563645001799;11,5314256610086
205;Volkartstraße;München;de:09162:205;48,1551193324162;11,5326332008276
206;Sadelerstraße;München;de:09162:206;48,1686032772218;11,5223874029221
207;Winthirplatz;München;de:09162:207;48,1519074437892;11,5279180781254
209;Dankwartstraße;München;de:09162:209;48,1513682948407;11,5236626431467
210;Amalienburgstraße;München;de:09162:210;48,1656454421728;11,4931754382457
211;Botanischer Garten;München;de:09162:211;48,1644635676637;11,5026241178776
212;Maria-Ward-Straße;München;de:09162:212;48,1637357743873;11,5069597590554
213;Dall'Armistraße;München;de:09162:213;48,1614339289759;11,5112833249322
214;Schloss Nymphenburg;München;de:09162:214;48,1585478045076;11,5114585594942
215;Romanplatz;München;de:09162:215;48,155643407069;11,5115667424199
216;Steubenplatz;München;de:09162:216;48,1501220720293;11,520260568983
217;Briefzentrum;München;de:09162:217;48,1490332193536;11,5244368114562
218;Burghausener Straße;München;de:09162:218;48,1472736399506;11,5295731510285
219;Kriemhildenstraße;München;de:09162:219;48,1521523246648;11,5154301955641
220;Renatastraße;München;de:09162:220;48,1566414143124;11,5265709270336
221;Hubertusstraße;München;de:09162:221;48,1559571969536;11,5198836634402
222;Marsstraße;München;de:09162:222;48,1450390035437;11,5418893235653
223;Deroystraße;München;de:09162:223;48,1442434806972;11,5453902211177
224;Mettenstraße;München;de:09162:224;48,1682196471467;11,5145261802069
225;Herthastraße;München;de:09162:225;48,149294887629;11,5033484088631
226;Kemnatenstraße;München;de:09162:226;48,1513039199573;11,5041623056183
227;Hirschgartenallee;München;de:09162:227;48,1528856580341;11,5080984651238
228;Nederlinger Straße;München;de:09162:228;48,1699843187637;11,5107450770509
229;Netzerstraße;München;de:09162:229;48,1760837063467;11,5069759921967
230;Skagerrakstraße;München;de:09162:230;48,1727455692944;11,5045071357641
231;Baubergerstraße;München;de:09162:231;48,1770868251679;11,506011693066
232;Hopfenstraße;München;de:09162:232;48,1423631627539;11,5544097984187
233;Amphionpark;München;de:09162:233;48,1734470651646;11,5150684992027
234;Schragenhofstraße;München;de:09162:234;48,1725109409346;11,5022371556595
235;Lustheimstraße;München;de:09162:235;48,163778982771;11,4860018442459
236;In den Kirschen;München;de:09162:236;48,1672361951128;11,5095343514538
237;Bunzlauer Platz;München;de:09162:237;48,1791779770171;11,5071077242033
238;Winfriedstraße;München;de:09162:238;48,147423936625;11,5032723674382
239;Nederlinger Straße (West);München;de:09162:239;48,1707137841509;11,508869330562
240;Theresienwiese;München;de:09162:240;48,1356545024004;11,5521971589653
250;Schwanthalerhöhe;München;de:09162:250;48,1334649656037;11,5397485023829
251;Theresienhöhe;München;de:09162:251;48,1325543915739;11,5459769181912
260;Westendstraße;München;de:09162:260;48,1343757659445;11,5226910692031
270;Friedenheimer Straße;München;de:09162:270;48,1351286159156;11,5113580352161
280;Laimer Platz;München;de:09162:280;48,1354703625896;11,5029575974053
285;Stadtwerke München;München;de:09162:285;48,1712449310654;11,5305508229537
290;Olympiasee;München;de:09162:290;48,1714506255265;11,5459568137435
291;Sapporobogen;München;de:09162:291;48,1694386564979;11,5375583665841
292;Angererstraße;München;de:09162:292;48,1674528980441;11,5705136539125
293;Georg-Birk-Straße;München;de:09162:293;48,1639571533539;11,5569788638771
294;Ackermannbogen;München;de:09162:294;48,1650423606072;11,5562032675003
295;Olympiapark Süd;München;de:09162:295;48,1622917576068;11,551911914831
296;Ackermannbogen;München;de:09162:296;48,1686070593737;11,5594125988436
299;Margarete-Steiff-Straße;München;de:09162:299;48,1805298086825;11,5015007086981
300;Moosach;München;de:09162:300;48,1804201569616;11,5073647766005
301;Pelkovenstraße;München;de:09162:301;48,1810673162058;11,5115003920667
302;Hugo-Troendle-Straße;München;de:09162:302;48,1793184021524;11,5147577069321
303;Wintrichring;München;de:09162:303;48,1757963877136;11,5220114275908
304;Hanauer Straße;München;de:09162:304;48,1725395167868;11,5282398935253
305;Borstei;München;de:09162:305;48,1696812170692;11,5330388545088
306;Olympiapark West;München;de:09162:306;48,1658696154479;11,5378861639956
307;Heideckstraße;München;de:09162:307;48,1628741402968;11,5422146876691
308;Gartenstraße;München;de:09162:308;48,1722524258228;11,564947692804
309;Ackermannstraße;München;de:09162:309;48,1679084780857;11,5649037170963
310;Fasanerie;München;de:09162:310;48,1969050394205;11,5245056801586
311;Herzogstraße;München;de:09162:311;48,1634630098514;11,5641750201108
312;Georg-Brauchle-Ring;München;de:09162:312;48,176392098422;11,5290786007512
313;Ehrenbreitsteiner Straße;München;de:09162:313;48,1873085380408;11,5287232013419
314;Riesstraße;München;de:09162:314;48,1845925911654;11,5331456764257
316;Bingener Straße;München;de:09162:316;48,1821963166674;11,5212123828462
318;Olympia-Einkaufszentrum West;München;de:09162:318;48,1840279224721;11,5314025314788
319;Olympia-Einkaufszentrum Ost;München;de:09162:319;48,1831684891453;11,5368164402309
320;Feldmoching;München;de:09162:320;48,2139124117978;11,5402669141907
321;Olympia-Pressestadt;München;de:09162:321;48,1798946595158;11,5367517633195
322;Lassallestraße;München;de:09162:322;48,1870677337471;11,5336342892946
323;Olympiapark Nord;München;de:09162:323;48,1863449445293;11,5417639158357
324;Lerchenauer Straße;München;de:09162:324;48,1860331397599;11,5516515014689
